	artist	track	genre	time	days	date.peaked	week	rating	days_to_peak	rank
461	No Doubt	Simple Kind Of Life	Rock	4.11	2000-07-01	2000-07-22	2	40	21 days 00:00:00.000000000	11
484	Vitamin C	The Itch	Rock	3.3	2000-12-02	2000-12-16	2	48	14 days 00:00:00.000000000	3
634	Destiny's Child	Independent Women Part I	Rock	3.38	2000-09-23	2000-11-18	3	49	56 days 00:00:00.000000000	2
635	Santana	Maria, Maria	Rock	4.18	2000-02-12	2000-04-08	3	6	56 days 00:00:00.000000000	45
636	Savage Garden	I Knew I Loved You	Rock	4.07	1999-10-23	2000-01-29	3	43	98 days 00:00:00.000000000	8
637	Madonna	Music	Rock	3.45	2000-08-12	2000-09-16	3	18	35 days 00:00:00.000000000	33
638	Aguilera, Christina	Come On Over Baby (All I Want Is You)	Rock	3.38	2000-08-05	2000-10-14	3	45	70 days 00:00:00.000000000	6
639	Janet	Doesn't Really Matter	Rock	4.17	2000-06-17	2000-08-26	3	43	70 days 00:00:00.000000000	8
640	Destiny's Child	Say My Name	Rock	4.31	1999-12-25	2000-03-18	3	44	84 days 00:00:00.000000000	7
641	Iglesias, Enrique	Be With You	Latin	3.36	2000-04-01	2000-06-24	3	34	84 days 00:00:00.000000000	17
643	Lonestar	Amazed	Country	4.25	1999-06-05	2000-03-04	3	44	273 days 00:00:00.000000000	7
645	Aguilera, Christina	What A Girl Wants	Rock	3.18	1999-11-27	2000-01-15	3	28	49 days 00:00:00.000000000	23
648	Aaliyah	Try Again	Rock	4.03	2000-03-18	2000-06-17	3	38	91 days 00:00:00.000000000	13
649	matchbox twenty	Bent	Rock	4.12	2000-04-29	2000-07-22	3	29	84 days 00:00:00.000000000	22
654	Braxton, Toni	He Wasn't Man Enough	Rock	4.21	2000-03-18	2000-05-06	3	48	49 days 00:00:00.000000000	3
656	98¡	Give Me Just One Night (Una Noche)	Rock	3.24	2000-08-19	2000-09-30	3	34	42 days 00:00:00.000000000	17
659	Sisqo	Thong Song	Rock	4.05	2000-01-29	2000-05-20	3	35	112 days 00:00:00.000000000	16
660	Aguilera, Christina	I Turn To You	Rock	4.0	2000-04-15	2000-07-01	3	30	77 days 00:00:00.000000000	21
661	Houston, Whitney	My Love Is Your Love	Rock	4.16	1999-09-04	2000-01-08	3	44	126 days 00:00:00.000000000	7
664	N'Sync	Bye Bye Bye	Rock	3.15	2000-01-29	2000-04-15	3	19	77 days 00:00:00.000000000	32
665	Eminem	The Real Slim Shady	Rap	4.42	2000-05-06	2000-06-24	3	20	49 days 00:00:00.000000000	31
669	"Elliott, Missy ""Misdemeanor"""	Hot Boyz	Rap	3.51	1999-11-27	2000-01-08	3	13	42 days 00:00:00.000000000	38
670	Gray, Macy	I Try	Rock	3.52	2000-02-19	2000-05-20	3	47	91 days 00:00:00.000000000	4
671	N'Sync	This I Promise You	Rock	4.23	2000-09-30	2000-12-02	3	19	63 days 00:00:00.000000000	32
672	Ruff Endz	No More	Rock	3.56	2000-07-01	2000-09-02	3	19	63 days 00:00:00.000000000	32
677	Eiffel 65	Blue (Da Ba Dee)	Electronica	3.29	1999-12-11	2000-01-29	3	16	49 days 00:00:00.000000000	35
678	Badu, Erkyah	Bag Lady	Rock	5.03	2000-08-19	2000-10-07	3	42	49 days 00:00:00.000000000	9
679	Pink	There U Go	Rock	3.23	2000-03-04	2000-04-08	3	12	35 days 00:00:00.000000000	39
682	Next	Wifey	Rock	4.03	2000-05-27	2000-09-09	3	46	105 days 00:00:00.000000000	5
683	Kenny G	Auld Lang Syne (The Millenium Mix)	Jazz	7.5	1999-12-25	2000-01-08	3	7	14 days 00:00:00.000000000	44
684	Sonique	It Feels So Good	Rock	3.48	2000-01-22	2000-04-22	3	30	91 days 00:00:00.000000000	21
685	Spears, Britney	Oops!.. I Did It Again	Rock	3.3	2000-04-22	2000-06-10	3	26	49 days 00:00:00.000000000	25
686	Backstreet Boys, The	Shape Of My Heart	Rock	3.49	2000-10-14	2000-12-02	3	24	49 days 00:00:00.000000000	27
691	Jay-Z	I Just Wanna Love U (Give It 2 Me)	Rap	3.5	2000-10-28	2000-12-30	3	35	63 days 00:00:00.000000000	16
694	Martin, Ricky	She Bangs	Latin	4.02	2000-10-07	2000-12-02	3	21	56 days 00:00:00.000000000	30
698	Third Eye Blind	Never Let You Go	Rock	3.57	2000-01-22	2000-04-01	3	25	70 days 00:00:00.000000000	26
700	Profyle	Liar	R&B	3.57	2000-09-16	2000-10-28	3	25	42 days 00:00:00.000000000	26
702	Jagged Edge	He Can't Love U	Rock	3.3	1999-12-11	2000-01-08	3	17	28 days 00:00:00.000000000	34
703	504 Boyz	Wobble Wobble	Rap	3.35	2000-04-15	2000-05-06	3	25	21 days 00:00:00.000000000	26
705	Jay-Z	Big Pimpin'	Rap	3.55	2000-04-22	2000-07-08	3	39	77 days 00:00:00.000000000	12
706	Kid Rock	Only God Knows Why	Rock	5.27	2000-02-19	2000-04-15	3	46	56 days 00:00:00.000000000	5
708	Dixie Chicks, The	Goodbye Earl	Country	4.19	2000-03-18	2000-05-06	3	24	49 days 00:00:00.000000000	27
709	Guy	Dancin'	R&B	4.08	1999-12-18	2000-01-01	3	19	14 days 00:00:00.000000000	32
710	Lil Bow Wow	Bounce With Me	Rap	3.22	2000-08-19	2000-09-16	3	24	28 days 00:00:00.000000000	27
713	Thomas, Carl	I Wish	Rock	3.5	2000-03-25	2000-05-13	3	48	49 days 00:00:00.000000000	3
714	Hanson	This Time Around	Country	4.14	2000-04-22	2000-05-06	3	20	14 days 00:00:00.000000000	31
715	Simpson, Jessica	I Think I'm In Love With You	Pop	3.32	2000-07-01	2000-08-12	3	44	42 days 00:00:00.000000000	7
722	Vertical Horizon	You're A God	Rock	3.45	2000-08-26	2000-11-04	3	43	70 days 00:00:00.000000000	8
723	Avant	Separated	Rock	4.13	2000-04-29	2000-05-20	3	30	21 days 00:00:00.000000000	21
725	IMx	Stay The Night	Rap	3.37	1999-10-09	2000-01-08	3	45	91 days 00:00:00.000000000	6
727	Spears, Britney	Lucky	Rock	3.23	2000-08-12	2000-09-09	3	28	28 days 00:00:00.000000000	23
733	Dr. Dre	Forgot About Dre	Rap	3.42	2000-01-22	2000-03-25	3	47	63 days 00:00:00.000000000	4
734	D'Angelo	Untitled (How Does It Feel)	R&B	7.1	2000-01-22	2000-02-19	3	35	28 days 00:00:00.000000000	16
744	Hoku	Another Dumb Blonde	Pop	3.47	2000-02-19	2000-04-08	3	49	49 days 00:00:00.000000000	2
748	Carey, Mariah	Crybaby	Rock	5.19	2000-06-24	2000-06-24	3	48	0 days 00:00:00.000000000	3
751	Madonna	American Pie	Rock	4.3	2000-02-19	2000-03-04	3	29	14 days 00:00:00.000000000	22
755	Backstreet Boys, The	The One	Rock	3.46	2000-05-27	2000-07-01	3	43	35 days 00:00:00.000000000	8
778	No Doubt	Simple Kind Of Life	Rock	4.11	2000-07-01	2000-07-22	3	39	21 days 00:00:00.000000000	12
801	Vitamin C	The Itch	Rock	3.3	2000-12-02	2000-12-16	3	45	14 days 00:00:00.000000000	6
808	John, Elton	Someday Out Of The Blue	Rock	4.41	2000-04-22	2000-05-06	3	49	14 days 00:00:00.000000000	2
951	Destiny's Child	Independent Women Part I	Rock	3.38	2000-09-23	2000-11-18	4	33	56 days 00:00:00.000000000	18
952	Santana	Maria, Maria	Rock	4.18	2000-02-12	2000-04-08	4	5	56 days 00:00:00.000000000	46
953	Savage Garden	I Knew I Loved You	Rock	4.07	1999-10-23	2000-01-29	4	31	98 days 00:00:00.000000000	20
954	Madonna	Music	Rock	3.45	2000-08-12	2000-09-16	4	14	35 days 00:00:00.000000000	37
955	Aguilera, Christina	Come On Over Baby (All I Want Is You)	Rock	3.38	2000-08-05	2000-10-14	4	29	70 days 00:00:00.000000000	22
956	Janet	Doesn't Really Matter	Rock	4.17	2000-06-17	2000-08-26	4	30	70 days 00:00:00.000000000	21
957	Destiny's Child	Say My Name	Rock	4.31	1999-12-25	2000-03-18	4	38	84 days 00:00:00.000000000	13
958	Iglesias, Enrique	Be With You	Latin	3.36	2000-04-01	2000-06-24	4	23	84 days 00:00:00.000000000	28
960	Lonestar	Amazed	Country	4.25	1999-06-05	2000-03-04	4	39	273 days 00:00:00.000000000	12
961	N'Sync	It's Gonna Be Me	Rock	3.1	2000-05-06	2000-07-29	4	39	84 days 00:00:00.000000000	12
962	Aguilera, Christina	What A Girl Wants	Rock	3.18	1999-11-27	2000-01-15	4	18	49 days 00:00:00.000000000	33
963	Vertical Horizon	Everything You Want	Rock	4.01	2000-01-22	2000-07-15	4	46	175 days 00:00:00.000000000	5
965	Aaliyah	Try Again	Rock	4.03	2000-03-18	2000-06-17	4	28	91 days 00:00:00.000000000	23
966	matchbox twenty	Bent	Rock	4.12	2000-04-29	2000-07-22	4	24	84 days 00:00:00.000000000	27
969	Mya	Case Of The Ex (Whatcha Gonna Do)	Rock	3.5	2000-08-19	2000-12-02	4	47	105 days 00:00:00.000000000	4
971	Braxton, Toni	He Wasn't Man Enough	Rock	4.21	2000-03-18	2000-05-06	4	39	49 days 00:00:00.000000000	12
972	Anthony, Marc	You Sang To Me	Latin	3.5	2000-02-26	2000-06-03	4	43	98 days 00:00:00.000000000	8
973	98¡	Give Me Just One Night (Una Noche)	Rock	3.24	2000-08-19	2000-09-30	4	26	42 days 00:00:00.000000000	25
976	Sisqo	Thong Song	Rock	4.05	2000-01-29	2000-05-20	4	26	112 days 00:00:00.000000000	25
977	Aguilera, Christina	I Turn To You	Rock	4.0	2000-04-15	2000-07-01	4	28	77 days 00:00:00.000000000	23
978	Houston, Whitney	My Love Is Your Love	Rock	4.16	1999-09-04	2000-01-08	4	16	126 days 00:00:00.000000000	35
981	N'Sync	Bye Bye Bye	Rock	3.15	2000-01-29	2000-04-15	4	14	77 days 00:00:00.000000000	37
982	Eminem	The Real Slim Shady	Rap	4.42	2000-05-06	2000-06-24	4	16	49 days 00:00:00.000000000	35
983	Pink	Most Girls	Rock	4.06	2000-08-12	2000-11-25	4	36	105 days 00:00:00.000000000	15
984	Mumba, Samantha	Gotta Tell You	Rock	3.19	2000-09-09	2000-12-09	4	49	91 days 00:00:00.000000000	2
985	Blaque	Bring It All To Me	Pop	3.46	1999-10-23	2000-01-22	4	42	91 days 00:00:00.000000000	9
986	"Elliott, Missy ""Misdemeanor"""	Hot Boyz	Rap	3.51	1999-11-27	2000-01-08	4	9	42 days 00:00:00.000000000	42
987	Gray, Macy	I Try	Rock	3.52	2000-02-19	2000-05-20	4	36	91 days 00:00:00.000000000	15
988	N'Sync	This I Promise You	Rock	4.23	2000-09-30	2000-12-02	4	15	63 days 00:00:00.000000000	36
989	Ruff Endz	No More	Rock	3.56	2000-07-01	2000-09-02	4	17	63 days 00:00:00.000000000	34
990	Backstreet Boys, The	Show Me The Meaning Of Being Lonely	Rock	3.54	2000-01-01	2000-03-18	4	25	77 days 00:00:00.000000000	26
992	Dion, Celine	That's The Way It Is	Rock	4.03	1999-11-13	2000-03-04	4	49	112 days 00:00:00.000000000	2
994	Eiffel 65	Blue (Da Ba Dee)	Electronica	3.29	1999-12-11	2000-01-29	4	16	49 days 00:00:00.000000000	35
995	Badu, Erkyah	Bag Lady	Rock	5.03	2000-08-19	2000-10-07	4	41	49 days 00:00:00.000000000	10
996	Pink	There U Go	Rock	3.23	2000-03-04	2000-04-08	4	11	35 days 00:00:00.000000000	40
999	Next	Wifey	Rock	4.03	2000-05-27	2000-09-09	4	40	105 days 00:00:00.000000000	11
1000	Kenny G	Auld Lang Syne (The Millenium Mix)	Jazz	7.5	1999-12-25	2000-01-08	4	8	14 days 00:00:00.000000000	43
1001	Sonique	It Feels So Good	Rock	3.48	2000-01-22	2000-04-22	4	23	91 days 00:00:00.000000000	28
1002	Spears, Britney	Oops!.. I Did It Again	Rock	3.3	2000-04-22	2000-06-10	4	19	49 days 00:00:00.000000000	32
1003	Backstreet Boys, The	Shape Of My Heart	Rock	3.49	2000-10-14	2000-12-02	4	15	49 days 00:00:00.000000000	36
1004	Everclear	Wonderful	Rock	4.3	2000-07-08	2000-09-30	4	37	84 days 00:00:00.000000000	14
1005	Ja Rule	Between Me And You	Rap	4.05	2000-09-16	2000-11-18	4	37	63 days 00:00:00.000000000	14
1007	Smash Mouth	Then The Morning Comes	Rock	3.04	1999-10-30	2000-01-29	4	46	91 days 00:00:00.000000000	5
1008	Jay-Z	I Just Wanna Love U (Give It 2 Me)	Rap	3.5	2000-10-28	2000-12-30	4	26	63 days 00:00:00.000000000	25
1009	Jagged Edge	Let's Get Married	Rock	4.23	2000-05-06	2000-07-29	4	45	84 days 00:00:00.000000000	6
1011	Martin, Ricky	She Bangs	Latin	4.02	2000-10-07	2000-12-02	4	21	56 days 00:00:00.000000000	30
1012	Mystikal	Shake Ya Ass	Rap	4.46	2000-08-12	2000-10-28	4	41	77 days 00:00:00.000000000	10
1015	Third Eye Blind	Never Let You Go	Rock	3.57	2000-01-22	2000-04-01	4	24	70 days 00:00:00.000000000	27
1017	Profyle	Liar	R&B	3.57	2000-09-16	2000-10-28	4	17	42 days 00:00:00.000000000	34
1018	Barenaked Ladies	Pinch Me	Rock	3.46	2000-09-09	2000-11-25	4	45	77 days 00:00:00.000000000	6
1019	Jagged Edge	He Can't Love U	Rock	3.3	1999-12-11	2000-01-08	4	17	28 days 00:00:00.000000000	34
1020	504 Boyz	Wobble Wobble	Rap	3.35	2000-04-15	2000-05-06	4	17	21 days 00:00:00.000000000	34
1022	Jay-Z	Big Pimpin'	Rap	3.55	2000-04-22	2000-07-08	4	33	77 days 00:00:00.000000000	18
1023	Kid Rock	Only God Knows Why	Rock	5.27	2000-02-19	2000-04-15	4	39	56 days 00:00:00.000000000	12
1025	Dixie Chicks, The	Goodbye Earl	Country	4.19	2000-03-18	2000-05-06	4	24	49 days 00:00:00.000000000	27
1026	Guy	Dancin'	R&B	4.08	1999-12-18	2000-01-01	4	22	14 days 00:00:00.000000000	29
1027	Lil Bow Wow	Bounce With Me	Rap	3.22	2000-08-19	2000-09-16	4	24	28 days 00:00:00.000000000	27
1030	Thomas, Carl	I Wish	Rock	3.5	2000-03-25	2000-05-13	4	39	49 days 00:00:00.000000000	12
1031	Hanson	This Time Around	Country	4.14	2000-04-22	2000-05-06	4	45	14 days 00:00:00.000000000	6
1032	Simpson, Jessica	I Think I'm In Love With You	Pop	3.32	2000-07-01	2000-08-12	4	29	42 days 00:00:00.000000000	22
1034	Lil' Zane	Callin' Me	Rap	3.43	2000-07-29	2000-09-02	4	40	35 days 00:00:00.000000000	11
1035	M2M	Don't Say You Love Me	Pop	3.41	1999-11-20	2000-01-08	4	46	49 days 00:00:00.000000000	5
1038	Martin, Ricky	Shake Your Bon-Bon	Latin	3.08	1999-11-20	2000-02-12	4	39	84 days 00:00:00.000000000	12
1039	Vertical Horizon	You're A God	Rock	3.45	2000-08-26	2000-11-04	4	41	70 days 00:00:00.000000000	10
1040	Avant	Separated	Rock	4.13	2000-04-29	2000-05-20	4	23	21 days 00:00:00.000000000	28
1042	IMx	Stay The Night	Rap	3.37	1999-10-09	2000-01-08	4	43	91 days 00:00:00.000000000	8
1044	Spears, Britney	Lucky	Rock	3.23	2000-08-12	2000-09-09	4	26	28 days 00:00:00.000000000	25
1045	Savage Garden	Crash And Burn	Rock	4.41	2000-04-08	2000-05-27	4	36	49 days 00:00:00.000000000	15
1047	Sammie	I Like It	Rock	4.09	2000-01-29	2000-04-15	4	44	77 days 00:00:00.000000000	7
1048	Goo Goo Dolls	Broadway	Rock	3.54	2000-04-22	2000-07-01	4	42	70 days 00:00:00.000000000	9
1050	Dr. Dre	Forgot About Dre	Rap	3.42	2000-01-22	2000-03-25	4	36	63 days 00:00:00.000000000	15
1051	D'Angelo	Untitled (How Does It Feel)	R&B	7.1	2000-01-22	2000-02-19	4	26	28 days 00:00:00.000000000	25
1053	Avant	My First Love	Rock	4.28	2000-11-04	2000-12-16	4	43	42 days 00:00:00.000000000	8
1060	Alice Deejay	Better Off Alone	Electronica	6.5	2000-04-08	2000-06-03	4	48	56 days 00:00:00.000000000	3
1061	Hoku	Another Dumb Blonde	Pop	3.47	2000-02-19	2000-04-08	4	34	49 days 00:00:00.000000000	17
1062	Houston, Whitney	I Learned From The Best	Rock	4.18	2000-02-19	2000-03-25	4	40	35 days 00:00:00.000000000	11
1067	Sugar Ray	Falls Apart	Rock	4.15	2000-01-15	2000-02-19	4	40	35 days 00:00:00.000000000	11
1068	Madonna	American Pie	Rock	4.3	2000-02-19	2000-03-04	4	29	14 days 00:00:00.000000000	22
1072	Backstreet Boys, The	The One	Rock	3.46	2000-05-27	2000-07-01	4	37	35 days 00:00:00.000000000	14
1074	Strait, George	The Best Day	Country	3.24	2000-01-29	2000-04-22	4	45	84 days 00:00:00.000000000	6
1078	Braxton, Toni	Just Be A Man About It	Rock	4.1	2000-07-29	2000-09-02	4	42	35 days 00:00:00.000000000	9
1085	Eve	Love Is Blind	Rap	3.51	2000-01-08	2000-02-19	4	46	42 days 00:00:00.000000000	5
1086	Aaliyah	I Don't Wanna	Rock	4.15	2000-01-29	2000-03-04	4	41	35 days 00:00:00.000000000	10
1088	Carter, Aaron	Aaron's Party (Come Get It)	R&B	3.23	2000-08-26	2000-09-16	4	35	21 days 00:00:00.000000000	16
1090	Ice Cube	You Can Do It	Rap	4.2	1999-12-04	2000-01-15	4	42	42 days 00:00:00.000000000	9
1091	Wills, Mark	Back At One	Country	4.0	2000-01-15	2000-02-26	4	43	42 days 00:00:00.000000000	8
1095	No Doubt	Simple Kind Of Life	Rock	4.11	2000-07-01	2000-07-22	4	38	21 days 00:00:00.000000000	13
1115	Common	The Light	Rap	3.55	2000-08-05	2000-09-09	4	49	35 days 00:00:00.000000000	2
1268	Destiny's Child	Independent Women Part I	Rock	3.38	2000-09-23	2000-11-18	5	23	56 days 00:00:00.000000000	28
1269	Santana	Maria, Maria	Rock	4.18	2000-02-12	2000-04-08	5	2	56 days 00:00:00.000000000	49
1270	Savage Garden	I Knew I Loved You	Rock	4.07	1999-10-23	2000-01-29	5	20	98 days 00:00:00.000000000	31
1271	Madonna	Music	Rock	3.45	2000-08-12	2000-09-16	5	2	35 days 00:00:00.000000000	49
1272	Aguilera, Christina	Come On Over Baby (All I Want Is You)	Rock	3.38	2000-08-05	2000-10-14	5	23	70 days 00:00:00.000000000	28
1273	Janet	Doesn't Really Matter	Rock	4.17	2000-06-17	2000-08-26	5	29	70 days 00:00:00.000000000	22
1274	Destiny's Child	Say My Name	Rock	4.31	1999-12-25	2000-03-18	5	16	84 days 00:00:00.000000000	35
1275	Iglesias, Enrique	Be With You	Latin	3.36	2000-04-01	2000-06-24	5	17	84 days 00:00:00.000000000	34
1277	Lonestar	Amazed	Country	4.25	1999-06-05	2000-03-04	5	38	273 days 00:00:00.000000000	13
1278	N'Sync	It's Gonna Be Me	Rock	3.1	2000-05-06	2000-07-29	5	26	84 days 00:00:00.000000000	25
1279	Aguilera, Christina	What A Girl Wants	Rock	3.18	1999-11-27	2000-01-15	5	13	49 days 00:00:00.000000000	38
1280	Vertical Horizon	Everything You Want	Rock	4.01	2000-01-22	2000-07-15	5	40	175 days 00:00:00.000000000	11
1282	Aaliyah	Try Again	Rock	4.03	2000-03-18	2000-06-17	5	21	91 days 00:00:00.000000000	30
1283	matchbox twenty	Bent	Rock	4.12	2000-04-29	2000-07-22	5	22	84 days 00:00:00.000000000	29
1284	Carey, Mariah	Thank God I Found You	Rock	4.14	1999-12-11	2000-02-19	5	41	70 days 00:00:00.000000000	10
1285	Hill, Faith	Breathe	Rap	4.04	1999-11-06	2000-04-22	5	42	168 days 00:00:00.000000000	9
1286	Mya	Case Of The Ex (Whatcha Gonna Do)	Rock	3.5	2000-08-19	2000-12-02	5	42	105 days 00:00:00.000000000	9
1287	Dream	He Loves U Not	Rock	3.43	2000-09-30	2000-12-30	5	47	91 days 00:00:00.000000000	4
1288	Braxton, Toni	He Wasn't Man Enough	Rock	4.21	2000-03-18	2000-05-06	5	35	49 days 00:00:00.000000000	16
1289	Anthony, Marc	You Sang To Me	Latin	3.5	2000-02-26	2000-06-03	5	30	98 days 00:00:00.000000000	21
1290	98¡	Give Me Just One Night (Una Noche)	Rock	3.24	2000-08-19	2000-09-30	5	26	42 days 00:00:00.000000000	25
1293	Sisqo	Thong Song	Rock	4.05	2000-01-29	2000-05-20	5	26	112 days 00:00:00.000000000	25
1294	Aguilera, Christina	I Turn To You	Rock	4.0	2000-04-15	2000-07-01	5	21	77 days 00:00:00.000000000	30
1295	Houston, Whitney	My Love Is Your Love	Rock	4.16	1999-09-04	2000-01-08	5	11	126 days 00:00:00.000000000	40
1296	Joe	I Wanna Know	Rock	4.57	2000-01-01	2000-07-01	5	41	182 days 00:00:00.000000000	10
1298	N'Sync	Bye Bye Bye	Rock	3.15	2000-01-29	2000-04-15	5	13	77 days 00:00:00.000000000	38
1299	Eminem	The Real Slim Shady	Rap	4.42	2000-05-06	2000-06-24	5	11	49 days 00:00:00.000000000	40
1300	Pink	Most Girls	Rock	4.06	2000-08-12	2000-11-25	5	27	105 days 00:00:00.000000000	24
1301	Mumba, Samantha	Gotta Tell You	Rock	3.19	2000-09-09	2000-12-09	5	39	91 days 00:00:00.000000000	12
1302	Blaque	Bring It All To Me	Pop	3.46	1999-10-23	2000-01-22	5	24	91 days 00:00:00.000000000	27
1303	"Elliott, Missy ""Misdemeanor"""	Hot Boyz	Rap	3.51	1999-11-27	2000-01-08	5	7	42 days 00:00:00.000000000	44
1304	Gray, Macy	I Try	Rock	3.52	2000-02-19	2000-05-20	5	30	91 days 00:00:00.000000000	21
1305	N'Sync	This I Promise You	Rock	4.23	2000-09-30	2000-12-02	5	11	63 days 00:00:00.000000000	40
1306	Ruff Endz	No More	Rock	3.56	2000-07-01	2000-09-02	5	12	63 days 00:00:00.000000000	39
1307	Backstreet Boys, The	Show Me The Meaning Of Being Lonely	Rock	3.54	2000-01-01	2000-03-18	5	16	77 days 00:00:00.000000000	35
1308	Nine Days	Absolutely (Story Of A Girl)	Rock	3.09	2000-05-06	2000-07-22	5	39	77 days 00:00:00.000000000	12
